claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
21494,56,F,1.0,57,40248,1,0,Own,15001,1/5/2016,Tuesday,Local,3,0.0,54,Phone,1,4075.434618,3.0,Medium,14668.48189,gray,22453.1551,0
25938,54,F,1.0,35,39884,0,0,Own,80011,11/21/2015,Saturday,Parking Lot,2,0.0,67,Broker,0,6004.541342,6.0,Compact,20553.27492,white,20436.87447,0
15726,53,M,0.0,69,39709,1,0,Own,85003,6/15/2016,Wednesday,Parking Lot,5,0.0,63,Phone,1,4737.692983,11.0,Compact,15562.29686,black,6024.643527,0
15127,34,F,1.0,59,35266,1,1,Rent,50054,2/12/2015,Thursday,Local,0,1.0,3,Phone,0,2775.657788,0.0,Medium,22856.46221,blue,46067.7448,0
16026,55,M,1.0,77,40082,1,1,Rent,80030,9/9/2016,Friday,Local,0,0.0,19,Broker,1,6773.867928,4.0,Large,44172.04066,blue,10069.99381,0
22655,46,M,1.0,60,38290,1,1,Own,15025,2/2/2016,Tuesday,Local,0,0.0,2,Broker,0,10679.0259,5.0,Compact,20011.36967,gray,13531.60084,0
20367,57,M,1.0,94,40427,1,1,Own,85083,4/26/2015,Sunday,Highway,1,1.0,63,Broker,1,4428.674725,6.0,Large,38346.87962,silver,26152.82763,0
23195,49,F,1.0,85,38923,1,0,Rent,20105,5/16/2016,Monday,Highway,0,1.0,18,Broker,0,6547.394067,9.0,Compact,19190.62481,other,31395.41824,0
6736,36,M,1.0,88,35850,1,0,Own,15027,7/16/2015,Thursday,Local,0,0.0,5,Phone,1,1709.718868,9.0,Medium,41729.61973,gray,7826.865199,0
4444,25,M,1.0,88,32179,1,1,Rent,85036,2/20/2016,Saturday,Highway,0,0.0,92,Online,0,6782.630598000001,5.0,Compact,24442.15605,silver,10523.6156,0
23352,42,M,1.0,82,37363,1,1,Rent,50048,7/28/2016,Thursday,Highway,0,0.0,49,Phone,1,4176.299896,4.0,Compact,46793.86355,black,18200.94098,0
9418,23,M,0.0,72,31348,0,0,Rent,15059,2/22/2016,Monday,Parking Lot,0,1.0,96,Online,0,4696.924965,6.0,Medium,16847.876519999998,gray,29571.16038,0
10895,61,M,1.0,89,41120,0,1,Own,20109,3/8/2015,Sunday,Local,0,1.0,46,Phone,1,7447.953981000001,3.0,Large,9385.750263,black,23135.74453,0
29704,35,F,1.0,85,35545,1,1,Own,85029,8/24/2015,Monday,Parking Lot,0,1.0,79,Broker,1,4032.785279,4.0,Compact,28473.37031,white,13797.85581,0
14114,43,F,1.0,74,37611,1,1,Rent,85024,6/11/2016,Saturday,Parking Lot,0,0.0,52,Phone,0,4321.208314,3.0,Compact,21196.04426,blue,11576.38689,0
14308,26,M,0.0,79,32576,1,1,Rent,20112,8/22/2016,Monday,Parking Lot,0,0.0,6,Online,0,4097.393423,5.0,Large,11146.3395,black,28246.75432,0
764,49,F,1.0,76,38924,0,1,Own,85044,12/10/2015,Thursday,Highway,1,0.0,0,Phone,1,11101.93112,5.0,Large,15522.3784,blue,10817.95415,0
8032,50,M,1.0,66,39123,0,1,Rent,15051,7/17/2016,Sunday,Parking Lot,0,0.0,48,Phone,0,4194.412545,5.0,Compact,14364.42225,blue,11982.33432,0
5871,30,M,0.0,73,34011,0,0,Own,50033,4/5/2016,Tuesday,Local,1,0.0,11,Online,0,4893.547404999999,4.0,Large,29333.46318,white,41343.03831,0
19481,44,M,1.0,90,37830,1,1,Rent,80026,3/8/2015,Sunday,Local,1,1.0,36,Phone,1,2702.224081,1.0,Large,15407.39396,black,20248.05133,0
4327,57,F,0.0,67,40419,0,1,Own,80044,6/30/2016,Thursday,Local,0,1.0,100,Broker,0,2803.776131,8.0,Medium,23284.67475,blue,20263.32538,0
23126,56,F,0.0,72,40263,0,0,Own,50022,10/20/2015,Tuesday,Local,3,1.0,92,Broker,1,1886.658603,4.0,Medium,11358.03045,gray,44377.65575,0
6321,47,M,0.0,70,38508,1,1,Rent,50021,6/28/2015,Sunday,Highway,0,0.0,48,Phone,1,7051.367595999999,2.0,Compact,10993.84231,red,24491.10542,0
19890,57,F,1.0,72,40450,1,0,Rent,20107,9/9/2016,Friday,Parking Lot,1,0.0,17,Broker,0,4657.373953,8.0,Large,39455.5342,blue,15334.66443,0
15090,55,M,1.0,73,40065,0,1,Own,50025,6/27/2016,Monday,Local,0,0.0,14,Broker,0,2133.626963,5.0,Compact,23736.77125,white,15314.8224,0
27232,43,F,1.0,58,37619,1,0,Own,15027,11/25/2015,Wednesday,Local,1,0.0,1,Broker,1,4871.42995,1.0,Large,19141.44785,silver,19154.90274,0
22110,29,M,0.0,75,33679,0,1,Rent,80016,8/27/2016,Saturday,Highway,0,1.0,21,Phone,0,3067.964012,10.0,Compact,8751.221007,white,26370.72428,0
5951,41,M,0.0,74,37119,1,1,Own,85006,9/17/2016,Saturday,Parking Lot,0,1.0,68,Phone,1,1691.882933,4.0,Compact,15664.40244,other,15552.17535,0
28563,40,M,1.0,30,36916,1,0,Own,20104,6/20/2016,Monday,Parking Lot,0,0.0,83,Online,0,4601.537108,7.0,Compact,13764.60404,other,23274.02666,0
2846,50,M,0.0,82,39110,1,1,Own,15046,1/11/2016,Monday,Highway,0,0.0,50,Broker,0,2181.2384,1.0,Large,22711.67752,gray,7360.90559,0
24513,34,M,1.0,56,35261,1,0,Rent,80013,6/13/2016,Monday,Highway,2,1.0,49,Phone,1,2770.94003,2.0,Compact,26126.63638,gray,17191.739869999998,0
14630,62,M,1.0,77,41271,1,1,Rent,15059,9/5/2015,Saturday,Highway,0,0.0,50,Phone,0,4270.065616,5.0,Medium,7268.446565,gray,29578.43728,0
21199,44,M,1.0,85,37849,1,1,Own,15021,9/7/2016,Wednesday,Local,0,0.0,50,Phone,1,2421.096683,9.0,Compact,18640.75379,gray,29240.06103,0
22678,55,M,1.0,88,40068,1,1,Rent,20102,2/17/2015,Tuesday,Parking Lot,0,1.0,57,Broker,0,6059.055429999999,4.0,Compact,25850.45827,silver,31201.91978,0
6910,46,M,0.0,83,38287,1,1,Own,15027,4/8/2015,Wednesday,Parking Lot,0,0.0,5,Phone,1,2678.61479,5.0,Medium,30171.73263,blue,23585.24175,0
11447,42,M,1.0,69,37386,1,0,Own,20148,7/16/2016,Saturday,Parking Lot,0,0.0,81,Broker,0,4061.958039,3.0,Medium,13256.49882,other,14018.63374,0
189,55,M,1.0,66,40082,1,1,Own,80022,2/3/2016,Wednesday,Local,0,1.0,35,Broker,0,3029.561522,5.0,Compact,8920.516431999999,black,24350.10476,0
17974,34,F,0.0,98,35262,1,0,Own,80021,1/18/2016,Monday,Highway,0,1.0,27,Broker,1,4378.809032,4.0,Large,17312.25533,silver,56405.11196,0
20435,32,F,0.0,58,34660,0,0,Own,80003,12/9/2016,Friday,Parking Lot,2,1.0,1,Broker,1,6459.722622,1.0,Medium,13901.60683,other,15240.44562,0
15971,44,F,1.0,87,37841,1,1,Rent,50054,12/10/2016,Saturday,Parking Lot,0,1.0,68,Phone,0,9011.882799,3.0,Large,10789.99328,other,3923.665678,0
5582,34,M,0.0,81,35251,1,1,Own,20106,4/24/2015,Friday,Local,1,0.0,50,Broker,0,2836.073851,4.0,Medium,27855.9584,blue,17502.98014,0
15200,57,F,0.0,93,40430,0,1,Own,80016,6/23/2016,Thursday,Local,0,0.0,4,Phone,0,3676.017673,4.0,Medium,13557.41767,red,12475.14091,0
566,29,F,1.0,82,33680,1,0,Rent,85071,10/14/2016,Friday,Local,0,0.0,79,Online,1,5934.812855,5.0,Compact,17634.45028,silver,23838.94659,0
22875,46,M,1.0,83,38277,1,1,Own,50006,3/17/2016,Thursday,Local,0,0.0,14,Phone,1,8079.346748999999,4.0,Large,38583.46245,black,3395.635427,0
5876,37,F,1.0,75,36113,0,1,Own,50044,3/29/2015,Sunday,Parking Lot,0,1.0,3,Broker,1,7046.845106999999,5.0,Compact,14039.47296,gray,14939.475,0
20629,39,F,1.0,76,36651,1,0,Rent,80034,3/28/2015,Saturday,Local,0,0.0,0,Phone,0,3779.566369,5.0,Compact,32868.327580000005,black,38532.51788,0
23049,62,F,1.0,71,41273,0,0,Own,50026,9/27/2015,Sunday,Local,0,1.0,71,Phone,1,8770.656106,8.0,Medium,6146.306724,other,34012.79725,0
9469,23,F,0.0,84,31361,0,0,Rent,50029,8/23/2015,Sunday,Local,2,0.0,27,Broker,1,7994.584470999999,7.0,Large,31299.18074,blue,25406.63271,0
15172,42,M,1.0,88,37364,0,1,Own,15001,12/19/2015,Saturday,Parking Lot,0,0.0,91,Broker,0,7385.043456,6.0,Compact,14535.34621,white,35054.19993,0
20172,41,F,1.0,53,37147,1,1,Rent,50047,1/14/2015,Wednesday,Local,0,0.0,69,Phone,0,3070.281827,5.0,Medium,35050.284960000005,blue,26395.49618,0
29805,34,F,1.0,63,35291,0,1,Rent,20112,11/22/2015,Sunday,Local,0,1.0,99,Phone,0,3249.829007,8.0,Medium,9447.382793,blue,10107.03762,0
16651,30,F,1.0,86,34031,1,1,Own,50021,12/1/2015,Tuesday,Local,0,0.0,0,Broker,0,6651.375355,3.0,Large,26487.15107,blue,26757.94141,0
2598,56,M,0.0,74,40257,1,1,Own,15043,10/28/2016,Friday,Local,0,0.0,8,Broker,1,3735.660031,2.0,Large,35514.65673,red,27927.04444,0
4342,55,F,1.0,61,40075,0,1,Own,20117,4/9/2015,Thursday,Highway,0,0.0,0,Broker,1,3096.027905,4.0,Medium,40567.96818,red,22699.59268,0
24025,34,M,1.0,92,35276,0,0,Own,50002,8/15/2016,Monday,Parking Lot,0,0.0,93,Broker,1,6130.812011999999,6.0,Large,16123.701319999998,blue,13469.59321,0
9943,42,M,0.0,86,37386,1,0,Rent,50044,4/5/2015,Sunday,Local,0,0.0,22,Broker,1,2163.53423,3.0,Large,25794.45273,black,45532.3744,0
24337,31,M,1.0,87,34331,1,0,Own,20130,6/24/2015,Wednesday,Local,0,0.0,5,Phone,0,4643.52888,7.0,Medium,31289.68807,red,13623.33477,0
18451,42,F,1.0,61,37361,1,1,Rent,85074,8/13/2015,Thursday,Local,0,,23,Broker,1,9038.602417,4.0,Medium,13444.23468,white,34074.59879,0
5695,42,M,1.0,77,37371,1,0,Own,80013,3/8/2015,Sunday,Highway,0,0.0,4,Online,0,4061.376636,4.0,Large,13539.84487,gray,16230.27429,0
15736,52,M,1.0,58,39516,0,1,Own,15009,10/10/2015,Saturday,Highway,0,0.0,60,Broker,1,4641.618316,8.0,Compact,51075.57439,other,36558.572960000005,0
13502,73,F,0.0,45,42900,0,0,Own,15014,9/4/2015,Friday,Parking Lot,0,1.0,52,Online,0,4186.049097,2.0,Large,20470.29719,blue,17668.94048,0
561,58,F,1.0,77,40613,0,1,Rent,20148,4/21/2015,Tuesday,Highway,1,0.0,50,Broker,0,2342.13297,5.0,Medium,12099.38168,silver,21072.11122,0
13417,49,M,0.0,76,38927,1,0,Own,20121,3/23/2016,Wednesday,Parking Lot,0,0.0,54,Phone,0,5358.763771,3.0,Compact,26496.5436,black,44278.01256,0
12425,60,M,1.0,71,40946,1,1,Own,15009,7/13/2015,Monday,Parking Lot,3,0.0,28,Broker,1,6358.691652,7.0,Large,39970.23654,red,16401.5237,0
5142,43,F,1.0,55,37605,1,1,Own,15004,4/17/2016,Sunday,Local,0,0.0,14,Broker,1,4434.324506,6.0,Large,33679.83613,gray,17121.64655,0
29041,21,M,1.0,13,30431,1,0,Own,20156,4/28/2016,Thursday,Parking Lot,1,1.0,81,Online,0,2864.809882,3.0,Compact,27244.99493,silver,14341.60346,0
2115,58,F,1.0,64,40598,1,0,Rent,15045,9/14/2016,Wednesday,Highway,0,0.0,50,Broker,1,2145.100954,5.0,Compact,24187.49033,gray,9707.489223,0
3939,33,F,1.0,89,34986,1,1,Own,15007,9/3/2015,Thursday,Local,0,0.0,36,Broker,1,2525.485901,7.0,Compact,10016.05416,other,49898.49319,0
1432,43,M,1.0,94,37617,1,1,Own,85074,12/14/2015,Monday,Parking Lot,1,1.0,65,Phone,1,1846.990972,2.0,Large,33639.98555,silver,8259.009912000001,0
24729,59,M,0.0,79,40774,0,1,Rent,20111,8/30/2015,Sunday,Local,0,0.0,25,Broker,1,5864.205192,4.0,Compact,37776.17768,white,6804.21308,0
25458,42,M,1.0,93,37372,1,1,Rent,15021,1/14/2015,Wednesday,Local,0,0.0,87,Phone,1,5143.539473,2.0,Medium,6370.763979,black,6899.207369,0
11283,39,M,1.0,79,36644,1,0,Own,20148,7/3/2016,Sunday,Parking Lot,0,0.0,100,Phone,1,7492.851587999999,6.0,Medium,14033.17016,silver,30579.26244,0
8170,32,F,1.0,83,34655,1,1,Own,50048,8/23/2015,Sunday,Parking Lot,0,0.0,85,Broker,0,6123.560251,2.0,Compact,37336.05127,other,18847.72816,0
29641,34,M,1.0,67,35269,0,1,Own,50005,5/3/2016,Tuesday,Parking Lot,0,0.0,54,Phone,1,6679.331156,4.0,Large,11020.76005,other,9519.129628,0
4602,43,F,1.0,94,37609,0,0,Rent,20135,12/24/2015,Thursday,Local,0,0.0,23,Broker,1,5045.874336999999,1.0,Medium,47595.33525,other,20452.12393,0
6257,40,M,1.0,68,36878,1,0,Own,50009,8/30/2015,Sunday,Highway,0,0.0,77,Broker,0,3032.180952,6.0,Compact,73057.88456,black,40063.62406,0
19310,43,M,1.0,76,37623,1,0,Rent,20104,1/25/2015,Sunday,Parking Lot,1,0.0,1,Broker,1,5653.762604,5.0,Large,22624.82526,gray,16719.668990000002,0
28638,61,F,1.0,73,41111,1,1,Own,15052,7/5/2015,Sunday,Parking Lot,0,,25,Online,1,4980.220124,4.0,Compact,15326.901930000002,red,4132.39411,0
24856,34,F,1.0,84,35262,1,0,Own,50014,9/8/2016,Thursday,Highway,1,0.0,58,Online,1,4229.190397,6.0,Compact,24277.93685,red,23336.99516,0
28282,24,F,1.0,55,31782,1,1,Rent,85022,2/2/2016,Tuesday,Local,0,,2,Online,0,4623.653412,3.0,Large,34533.73439,red,21269.35185,0
19112,40,F,0.0,25,36884,1,1,Own,50054,2/17/2015,Tuesday,Local,0,1.0,50,Broker,1,7046.82815,3.0,Medium,20381.06296,gray,5887.878924000001,0
17743,54,M,1.0,32,39905,0,1,Rent,15009,5/29/2015,Friday,Parking Lot,3,0.0,8,Phone,1,3289.4705710000003,3.0,Large,18879.65143,silver,32566.60615,0
6017,39,M,1.0,90,36637,1,1,Own,20140,12/6/2015,Sunday,Highway,0,0.0,78,Phone,1,3043.611993,3.0,Compact,40683.173610000005,white,8106.089426,0
16487,44,M,1.0,85,37847,0,1,Rent,85019,11/10/2015,Tuesday,Local,0,1.0,14,Phone,0,3660.370453,5.0,Large,26678.91117,red,13849.73483,0
1102,39,F,1.0,82,36623,1,1,Rent,50010,7/12/2015,Sunday,Highway,0,1.0,67,Phone,1,7501.199318000001,4.0,Medium,33858.43711,silver,30680.01903,0
2485,48,M,1.0,79,38708,1,1,Own,50043,3/29/2015,Sunday,Local,0,0.0,0,Broker,1,3606.120268,4.0,Medium,11833.84558,white,19216.28675,0
6827,55,M,0.0,70,40070,0,0,Rent,20153,6/28/2016,Tuesday,Parking Lot,0,0.0,85,Broker,1,3406.412019,2.0,Compact,12566.01602,black,21883.3989,0
21669,32,M,1.0,70,34651,1,0,Rent,20151,5/5/2015,Tuesday,Local,5,0.0,50,Broker,1,4897.800304,3.0,Medium,20982.15491,silver,17756.493169999998,0
26420,47,M,1.0,65,38499,1,0,Own,20104,11/28/2016,Monday,Local,0,0.0,67,Broker,1,5782.93421,7.0,Large,6266.676755,red,47621.11161,0
17975,45,F,1.0,74,38088,1,1,Rent,80002,11/28/2015,Saturday,Highway,1,0.0,38,Broker,1,1412.355231,4.0,Large,13818.43159,blue,21882.91063,0
17384,39,F,1.0,81,36632,1,0,Own,85063,4/25/2015,Saturday,Local,1,0.0,52,Broker,1,2776.955745,11.0,Compact,13386.09414,white,12847.9773,0
22300,47,M,1.0,77,38517,1,1,Own,80101,5/25/2016,Wednesday,Local,0,1.0,68,Broker,1,2038.256879,2.0,Large,17705.615019999997,other,13813.69028,0
24338,62,F,1.0,90,41282,0,0,Own,15012,9/2/2015,Wednesday,Parking Lot,0,0.0,88,Phone,1,5761.002151,5.0,Medium,6530.432281,other,76505.46708999999,0
23620,53,F,1.0,59,39713,1,1,Own,20122,10/6/2016,Thursday,Parking Lot,1,0.0,10,Phone,0,2725.925922,4.0,Medium,24073.51542,silver,10624.66188,0
27362,57,M,1.0,58,40428,0,1,Own,15035,7/15/2015,Wednesday,Local,0,0.0,70,Phone,0,2212.543266,4.0,Medium,12417.03284,red,18275.3886,0
21139,35,M,0.0,84,35554,1,0,Own,80020,4/14/2015,Tuesday,Parking Lot,0,0.0,98,Broker,1,3301.204407,6.0,Large,35081.92045,black,18802.71496,0
29635,30,F,1.0,69,34002,1,1,Own,85071,8/22/2016,Monday,Parking Lot,0,1.0,56,Broker,1,4539.353942,5.0,Large,19595.31838,red,25426.1913,0
22659,46,M,0.0,69,38300,1,1,Rent,15014,7/19/2016,Tuesday,Parking Lot,1,0.0,86,Broker,1,5733.876512,5.0,Compact,17135.43654,other,20405.7182,0
16252,70,F,1.0,79,42491,0,0,Rent,80030,1/26/2016,Tuesday,Local,0,0.0,86,Phone,1,2668.822464,6.0,Large,20492.80337,silver,25356.98325,0
24033,26,M,0.0,76,32580,1,0,Rent,80002,11/27/2016,Sunday,Local,2,0.0,84,Online,1,1712.552358,4.0,Medium,17244.95325,silver,47770.10532,0
28866,30,F,0.0,57,34011,1,0,Own,15054,1/19/2015,Monday,Local,0,1.0,58,Broker,1,4617.709684,2.0,Large,42325.58324,black,25912.738380000003,0
7501,31,F,0.0,85,34347,1,0,Own,15034,11/5/2016,Saturday,Parking Lot,2,0.0,98,Broker,1,4517.559225999999,5.0,Medium,24881.60846,silver,16498.23915,0
6353,38,F,1.0,88,36376,1,1,Rent,80017,2/24/2015,Tuesday,Highway,0,0.0,78,Phone,0,2603.712301,5.0,Medium,5636.490049,gray,14470.83251,0
29770,46,F,1.0,76,38298,1,0,Rent,85010,8/27/2015,Thursday,Highway,0,1.0,42,Phone,0,7564.368970999999,3.0,Large,23389.8765,gray,23490.81119,0
3566,57,F,1.0,70,40414,1,1,Rent,80034,10/20/2015,Tuesday,Parking Lot,0,0.0,94,Broker,0,6203.512781,7.0,Large,14198.93163,black,28996.75336,0
2047,52,M,0.0,82,39503,0,1,Rent,50008,8/4/2015,Tuesday,Parking Lot,0,0.0,65,Broker,0,8734.287006,4.0,Compact,20037.16724,other,19168.27112,0
703,85,M,1.0,70,44425,1,1,Own,50022,6/9/2015,Tuesday,Local,2,1.0,49,Broker,1,4454.946452,5.0,Large,17838.46364,gray,17780.692919999998,0
11082,38,M,1.0,76,36365,1,1,Rent,15003,8/1/2015,Saturday,Local,0,0.0,93,Online,1,4244.464915,4.0,Compact,42393.57884,red,25505.13324,0
18943,47,F,1.0,73,38486,1,0,Rent,20136,2/6/2015,Friday,Highway,0,0.0,12,Broker,1,4134.090881,9.0,Large,40982.690630000005,gray,10598.75733,0
9258,58,F,1.0,79,40609,1,1,Own,15025,12/24/2016,Saturday,Local,0,0.0,24,Broker,1,1549.280311,2.0,Compact,28279.13179,other,7312.147183,0
23114,56,M,1.0,82,40269,1,1,Own,85054,6/10/2016,Friday,Parking Lot,0,0.0,83,Broker,1,2560.671218,3.0,Large,11826.87517,red,32979.00332,0
13246,40,M,1.0,91,36891,0,1,Own,80001,8/18/2015,Tuesday,Highway,0,1.0,77,Broker,1,6753.325973,7.0,Medium,12670.31728,black,40819.058860000005,0
6829,43,M,1.0,81,37631,1,1,Own,80042,10/31/2016,Monday,Parking Lot,3,0.0,62,Phone,1,6042.868877,2.0,Medium,50977.18475,silver,36424.4236,0
6847,55,F,1.0,73,40083,1,1,Own,15001,5/13/2015,Wednesday,Parking Lot,0,0.0,96,Phone,0,3173.914475,3.0,Medium,5450.781328,red,14764.7834,0
23618,45,M,1.0,37,38065,0,1,Rent,20164,4/20/2015,Monday,Local,0,0.0,65,Online,1,2950.286636,4.0,Compact,22688.33376,red,35799.97189,0
9865,39,F,0.0,90,36646,1,1,Own,85016,2/14/2016,Sunday,Parking Lot,0,0.0,54,Broker,0,3922.89681,6.0,Compact,18794.05395,other,14784.71274,0
5677,26,M,0.0,94,32577,1,1,Rent,80030,11/21/2015,Saturday,Highway,0,0.0,3,Online,1,7246.351815000001,8.0,Compact,35416.12127,black,34309.24984,0
26170,35,M,1.0,85,35541,1,0,Own,80109,9/27/2016,Tuesday,Parking Lot,3,0.0,25,Broker,1,3339.912811,7.0,Medium,24909.137,gray,35258.96234,0
20881,40,M,0.0,57,36884,0,0,Own,50027,7/7/2015,Tuesday,Local,0,0.0,3,Phone,0,4390.027707,6.0,Medium,28688.9674,gray,19425.76823,0
18535,48,M,1.0,93,38722,1,0,Rent,80042,4/22/2015,Wednesday,Parking Lot,0,1.0,100,Broker,1,2422.696694,6.0,Compact,27125.22692,silver,5299.132359,0
20506,35,M,1.0,81,35545,0,0,Rent,50032,6/22/2016,Wednesday,Parking Lot,0,0.0,9,Broker,1,2489.328593,13.0,Large,25191.55357,red,27112.57759,0
24850,50,F,1.0,84,39127,1,1,Own,50021,6/17/2015,Wednesday,Local,0,0.0,15,Broker,1,5090.526436,3.0,Compact,20768.78545,white,11441.059,0
28581,21,F,0.0,78,30447,1,1,Rent,85053,10/16/2016,Sunday,Parking Lot,0,0.0,50,Online,0,9437.890383,9.0,Compact,28013.72573,silver,39119.25351,0
10325,47,M,1.0,76,38494,1,1,Own,50047,12/30/2016,Friday,Parking Lot,0,0.0,34,Broker,1,4257.372235,6.0,Compact,10262.65393,red,22380.47139,0
13709,40,M,1.0,71,36885,1,1,Rent,20101,12/8/2015,Tuesday,Parking Lot,0,0.0,40,Online,1,3470.1251030000003,5.0,Large,35592.025669999995,white,54786.71037000001,0
5673,49,M,1.0,74,38914,1,0,Own,20165,5/24/2015,Sunday,Highway,0,0.0,81,Phone,1,6131.708925999999,10.0,Large,50851.33222,white,25760.70214,0
5235,41,M,1.0,81,37126,1,0,Own,50012,12/20/2016,Tuesday,Local,0,0.0,1,Broker,1,5188.687870000001,4.0,Medium,23217.64521,red,11720.92196,0
100,33,F,1.0,31,34958,1,0,Rent,20130,3/30/2015,Monday,Local,3,0.0,48,Phone,1,9148.765275,3.0,Large,13118.67565,blue,15129.074880000002,0
8274,33,F,1.0,62,34962,0,1,Rent,85027,5/30/2016,Monday,Parking Lot,0,0.0,5,Phone,0,5207.744423,6.0,Large,36913.199360000006,other,15600.68144,0
20098,29,M,0.0,87,33664,0,0,Rent,80045,1/12/2016,Tuesday,Local,0,0.0,51,Online,0,4413.305274,4.0,Medium,45840.29047,black,38837.91299,0
9710,29,M,1.0,50,33677,1,1,Rent,85003,8/26/2016,Friday,Local,1,0.0,93,Online,0,6214.113068,3.0,Medium,26010.48702,black,23995.206830000003,0
18384,50,M,0.0,73,39120,0,1,Rent,50034,11/17/2016,Thursday,Highway,1,0.0,47,Broker,1,5780.853172,2.0,Large,17289.11635,blue,13990.51342,0
19307,38,M,0.0,72,36369,1,1,Own,85069,5/27/2015,Wednesday,Local,3,0.0,68,Phone,1,4971.663458,6.0,Medium,28116.06419,white,12962.04841,0
16780,55,F,1.0,80,40070,1,0,Rent,50010,12/2/2015,Wednesday,Highway,0,0.0,17,Broker,0,4743.683132,12.0,Medium,25285.52765,white,34051.31677,0
14120,25,M,1.0,96,32186,1,0,Rent,15014,8/4/2015,Tuesday,Local,1,0.0,18,Online,0,3494.436368,6.0,Compact,42360.91727,red,11488.10839,0
10254,33,F,1.0,30,34975,0,1,Own,85026,9/15/2015,Tuesday,Local,0,0.0,60,Broker,1,4551.402729,4.0,Compact,18484.8035,other,14945.58578,0
29965,74,M,1.0,71,43038,1,0,Own,50020,9/28/2015,Monday,Local,0,1.0,7,Broker,0,6534.104612,8.0,Medium,28455.7594,red,22022.484,0
3453,33,F,1.0,50,34951,1,0,Own,20107,3/24/2015,Tuesday,Local,0,0.0,49,Phone,1,2666.535759,7.0,Medium,36393.59244,white,6323.232407,0
6325,31,M,1.0,75,34337,1,1,Own,80023,7/8/2016,Friday,Local,1,0.0,63,Phone,0,5070.18554,7.0,Large,39384.22053,blue,13866.42521,0
7747,40,M,1.0,88,36890,1,0,Rent,15043,4/9/2015,Thursday,Local,0,1.0,47,Phone,1,6634.168493,8.0,Large,16635.62011,gray,13261.42499,0
25381,32,M,1.0,79,34645,1,0,Rent,15012,10/5/2016,Wednesday,Highway,2,1.0,0,Broker,1,3152.330021,7.0,Medium,4639.4923420000005,gray,33453.34361,0
7919,24,F,1.0,95,31782,1,0,Rent,20131,2/2/2016,Tuesday,Parking Lot,0,0.0,63,Phone,1,13182.51872,3.0,Medium,24724.51041,blue,24251.3564,0
22904,25,F,1.0,72,32181,1,0,Rent,50047,10/15/2015,Thursday,Local,0,0.0,62,Online,1,2530.740061,8.0,Compact,13304.12729,gray,34386.0956,0
8351,45,F,1.0,77,38068,1,1,Rent,80025,6/16/2016,Thursday,Local,0,1.0,4,Phone,1,4407.080984,9.0,Medium,25925.52919,silver,14194.66116,0
21068,54,M,0.0,74,39886,1,0,Own,85007,12/22/2015,Tuesday,Highway,0,0.0,58,Phone,1,6572.808179,6.0,Medium,39389.1834,silver,19554.93965,0
2389,30,F,0.0,96,34013,1,1,Own,50001,5/14/2016,Saturday,Highway,0,0.0,29,Broker,1,3650.94335,7.0,Medium,23364.93866,black,41258.89752,0
8642,32,M,1.0,78,34653,0,1,Own,20115,11/12/2015,Thursday,Local,1,1.0,70,Online,1,3790.026577000001,6.0,Compact,22129.79111,red,16148.27165,0
5479,54,M,0.0,64,39887,1,0,Rent,50058,2/3/2015,Tuesday,Parking Lot,0,0.0,99,Broker,0,5003.482197,5.0,Compact,5986.000819,blue,24414.89152,0
6085,23,F,1.0,84,31355,0,1,Rent,20135,10/2/2016,Sunday,Parking Lot,1,0.0,3,Online,1,2582.890872,6.0,Compact,40234.36068,white,29808.40572,0
20868,42,F,0.0,71,37384,0,0,Rent,15012,3/14/2015,Saturday,Local,0,1.0,8,Broker,0,5969.973571,6.0,Compact,28955.124180000003,blue,20765.57818,0
4167,38,F,0.0,50,36371,1,1,Own,80011,8/20/2016,Saturday,Highway,0,0.0,45,Online,1,6447.707007,9.0,Compact,14717.98529,blue,22446.26696,0
194,34,M,0.0,64,35268,0,0,Own,50021,5/20/2015,Wednesday,Local,1,1.0,6,Broker,1,4495.366963,6.0,Medium,16683.05473,other,15895.94911,0
27231,44,F,0.0,41,37822,1,0,Rent,85041,3/16/2015,Monday,Parking Lot,0,0.0,4,Broker,0,4263.317372,3.0,Large,14055.78131,silver,29906.63948,0
5916,56,M,1.0,74,40256,0,0,Own,85006,4/8/2016,Friday,Local,0,1.0,83,Broker,0,3114.831824,5.0,Compact,33791.88852,white,46138.27297,0
24541,21,M,1.0,63,30440,1,1,Own,20102,9/13/2015,Sunday,Local,3,1.0,0,Broker,1,6182.631743999999,4.0,Compact,24335.47219,gray,10052.85802,0
4439,60,F,1.0,79,40948,1,1,Rent,80005,11/27/2016,Sunday,Parking Lot,0,0.0,53,Phone,1,4876.606138,6.0,Medium,17392.41997,white,7546.494014,0
7386,46,F,0.0,83,38288,1,0,Rent,20117,5/16/2016,Monday,Local,3,0.0,95,Phone,1,1401.562501,2.0,Large,18452.16202,other,39521.14342,0
